Geography,Timeframe,"Current Year Week Ending",Type,"ASP Current Year","Total Bulk and Bags Units","4046 Units","4225 Units","4770 Units","TotalBagged Units","SmlBagged Units","LrgBagged Units","X-LrgBagged Units"
Albany,Weekly,"2020-01-26 00:00:00","Conventional ",1.110000000,119807.77,4411.65,83404.51,272.00,31719.61,11175.72,18697.23,1846.66
Albany,Weekly,"2020-01-19 00:00:00","Conventional ",1.030000000,158753.71,5475.80,127139.63,319.44,25818.84,10230.82,14368.02,1220.00
Albany,Weekly,"2020-01-12 00:00:00","Conventional ",0.970000000,134040.63,3934.24,106147.50,209.81,23749.08,8715.36,13781.50,1252.22
Albany,Weekly,"2020-01-05 00:00:00","Conventional ",0.920000000,185688.43,4038.61,163629.86,193.31,17826.65,7098.37,9384.95,1343.33
Atlanta,Weekly,"2020-01-26 00:00:00","Conventional ",0.930000000,827996.78,388506.03,35682.99,2772.47,401035.29,331555.58,69328.18,151.53
Atlanta,Weekly,"2020-01-19 00:00:00","Conventional ",0.880000000,824648.09,381041.13,34983.18,3683.86,404939.92,351862.68,52910.96,166.28
Atlanta,Weekly,"2020-01-12 00:00:00","Conventional ",0.880000000,844402.20,372120.95,37790.11,2637.07,431854.07,370512.24,61173.39,168.44
Atlanta,Weekly,"2020-01-05 00:00:00","Conventional ",0.890000000,812755.45,355460.73,37303.12,2905.78,417085.82,371318.63,45627.67,139.52
Baltimore/Washington,Weekly,"2020-01-26 00:00:00","Conventional ",1.200000000,1123603.36,105729.94,454790.78,5323.04,557759.60,311589.05,246019.44,151.11
Baltimore/Washington,Weekly,"2020-01-19 00:00:00","Conventional ",1.230000000,1077672.01,120998.35,443795.34,4901.79,507976.53,350912.36,156830.84,233.33
Baltimore/Washington,Weekly,"2020-01-12 00:00:00","Conventional ",1.260000000,948410.14,98296.04,412765.32,4715.95,432632.83,263850.85,168535.31,246.67
Baltimore/Washington,Weekly,"2020-01-05 00:00:00","Conventional ",1.130000000,1040583.36,120288.69,522244.65,6213.88,391836.14,239052.24,152663.90,120.00
Boise,Weekly,"2020-01-26 00:00:00","Conventional ",1.050000000,122496.42,43258.55,5324.44,1227.73,72685.70,39893.16,21490.70,11301.84
Boise,Weekly,"2020-01-19 00:00:00","Conventional ",0.920000000,148024.21,49737.45,5048.91,1146.98,92090.87,55834.87,25556.53,10699.47
Boise,Weekly,"2020-01-12 00:00:00","Conventional ",1.020000000,141505.85,41313.77,9217.38,1231.79,89742.91,44381.25,34285.52,11076.14
Boise,Weekly,"2020-01-05 00:00:00","Conventional ",1.090000000,121921.10,35816.52,8749.59,1834.52,75520.47,39530.82,31962.59,4027.06
Boston,Weekly,"2020-01-26 00:00:00","Conventional ",1.200000000,756344.44,14627.17,402936.03,2032.79,336748.45,140249.77,195772.01,726.67
Boston,Weekly,"2020-01-19 00:00:00","Conventional ",1.230000000,804999.29,17036.72,478246.46,2442.27,307273.84,153783.71,153160.13,330.00
Boston,Weekly,"2020-01-12 00:00:00","Conventional ",1.270000000,712912.97,13429.49,439759.93,1387.48,258336.07,149663.12,108292.95,380.00
Boston,Weekly,"2020-01-05 00:00:00","Conventional ",1.180000000,762475.92,11242.17,494342.34,1486.19,255405.22,110420.12,144661.77,323.33
Buffalo/Rochester,Weekly,"2020-01-26 00:00:00","Conventional ",0.970000000,223188.79,8963.54,67462.59,345.17,146417.49,62211.65,80948.06,3257.78
Buffalo/Rochester,Weekly,"2020-01-19 00:00:00","Conventional ",1.010000000,222502.62,10395.37,74571.41,270.23,137265.61,64728.51,70180.44,2356.66
